soil,cluster_id,n_objects,pct_of_soil_objects,mean_elongation,median_elongation,mean_flatness,median_flatness,mean_sphericity,median_sphericity,mean_pore_contact_fraction,median_pore_contact_fraction,mean_diameter_um,median_diameter_um
Bnei Re'em (Vertisol),0,375,25.66735112936345,1.5448226298609322,1.5024598028321907,1.378056425668013,1.351097010219023,0.8505550916422914,0.8482352923505642,0.8814775417350538,0.9090909090909091,68.59489761280092,57.82777072902817
Bnei Re'em (Vertisol),1,177,12.114989733059549,1.5913117457429662,1.4882886957166341,1.5334475000717742,1.4560320308002201,0.7952581818280091,0.7885772145970726,0.19832535275612667,0.18181818181818182,83.4752278062716,67.63577094919405
Bnei Re'em (Vertisol),2,253,17.31690622861054,2.6403249912602704,2.5343061735453514,1.4667895277715033,1.4127653943467393,0.6762513247627124,0.6825436575548164,0.8521354307682272,0.875,89.7420328265844,67.16277805517295
Bnei Re'em (Vertisol),3,237,16.2217659137577,1.5351712429233877,1.484542875681925,2.359070417629091,2.291620633449593,0.7584985177354089,0.7568543508695091,0.8949684633150936,0.9259259259259259,58.08096568059631,48.77383079444271
Bnei Re'em (Vertisol),4,326,22.313483915126625,1.6603860276863993,1.608160104083014,1.5872028899713442,1.5914970269815667,0.5244606529603396,0.531349488331502,0.6293941430409954,0.6395663956639566,197.69662011295878,155.55958552778046
Bnei Re'em (Vertisol),5,93,6.365503080082136,1.6736129383190224,1.6104797544744942,3.313369119737896,2.9457995253911937,0.5087717553336705,0.5110776176429814,0.44056657055685394,0.4155844155844156,155.11814921075845,109.37751315814396
Mishmar HaNegev (Loess) -- native 5.85um,0,480,27.80996523754345,1.5319693889700745,1.461514434770844,1.496763576977799,1.4857738247675671,0.7103169792305408,0.7145387712253493,0.3861792319619745,0.405542734878118,87.25454695983922,72.74993760018486
Mishmar HaNegev (Loess) -- native 5.85um,1,350,20.278099652375435,2.7541337917477096,2.580732551255805,1.5471644673489615,1.4665239235691017,0.6615432067024773,0.6813886486971156,0.7843119553077798,0.8274294670846395,56.97625884350065,31.97399058154685
Mishmar HaNegev (Loess) -- native 5.85um,2,609,35.283893395133255,1.5136334939834486,1.503150322976887,1.5015536449020894,1.4558016739370285,0.8426953330481416,0.8494184843964319,0.8756399495073949,0.9032258064516129,31.579065852559083,26.006122416699267
Mishmar HaNegev (Loess) -- native 5.85um,3,287,16.628041714947855,1.544110815728242,1.5131052804684981,2.7522978017789193,2.5339159695952507,0.6174188280120504,0.6275174428665198,0.6736288001826203,0.6972477064220184,85.04900748284713,41.871970714375585
Mishmar HaNegev (Loess) -- new 15um sample,0,502,41.31687242798354,1.5040897279320575,1.4806275588863214,1.4188726464951442,1.3961491724474708,0.895695582994066,0.9004130281756977,0.8836588733597539,0.9130434782608695,59.6468119031502,52.92635403999992
Mishmar HaNegev (Loess) -- new 15um sample,1,234,19.25925925925926,1.6735858926967746,1.6352581256647918,2.393075237003623,2.2189318526515867,0.6828729272990124,0.6912734939760965,0.8119112441205955,0.8348484848484848,89.8104784034245,71.19945211958887
Mishmar HaNegev (Loess) -- new 15um sample,2,178,14.650205761316872,1.5730912924846576,1.526736822090312,1.6980591249376973,1.5952444558918664,0.6711315384427989,0.6863706520306194,0.4122091593156285,0.436664628484725,129.82344956172858,107.08402835019419
Mishmar HaNegev (Loess) -- new 15um sample,3,301,24.773662551440328,2.6231038932331123,2.5181124280834712,1.4588018357713866,1.3873074743856875,0.7025079317747106,0.7136914293021046,0.8150158010559578,0.84,88.26980197367452,69.01647239172276
