soil,cluster_id,n_objects,pct_of_soil_objects,mean_elongation,median_elongation,mean_flatness,median_flatness,mean_sphericity,median_sphericity,mean_pore_contact_fraction,median_pore_contact_fraction,mean_diameter_um,median_diameter_um
Bnei Re'em (Vertisol),0,256,17.522245037645447,2.6575121894895846,2.5726339322092553,1.5025791633137255,1.433964955236401,0.639959185244476,0.6494944355258401,0.8203283054960092,0.8511543843283582,110.31973381344147,74.05303835326716
Bnei Re'em (Vertisol),1,308,21.08145106091718,1.5857753432835853,1.5557423469886107,1.5964670343506107,1.5973106987698538,0.5310988776526899,0.5407524449686791,0.633996815932117,0.6448946947480672,189.1973152135763,153.400005290613
Bnei Re'em (Vertisol),2,96,6.570841889117043,1.6882742771389634,1.6047563925298955,3.302319711546957,2.9456812607203218,0.5124370135049746,0.5190078756297292,0.4439139933820395,0.42207792207792205,153.06928213142572,109.19731825517847
Bnei Re'em (Vertisol),3,371,25.39356605065024,1.6247030907922508,1.5895496324514928,1.3647147695904713,1.327265692007676,0.8538172153798584,0.8513768530528085,0.9002485506509426,0.92,66.44403352118707,55.83209877428485
Bnei Re'em (Vertisol),4,242,16.56399726214921,1.495463587621846,1.4246429322169565,2.311881460696237,2.265101863767761,0.7685145749498851,0.7619575151770202,0.8927586241208412,0.9230769230769231,58.160957861386436,48.77383079444271
Bnei Re'em (Vertisol),5,188,12.867898699520875,1.5651969633566536,1.4658566102184722,1.5147924425819796,1.4273525718768454,0.7952971513238594,0.7895837251379665,0.22117036629883402,0.20460491889063318,84.61833439312434,69.46464386118028
Mishmar HaNegev (Loess) -- native 5.85um,0,286,16.57010428736964,1.5535591562516506,1.5191281524236078,2.751993664859427,2.534923098328374,0.6130528994367661,0.6234974055732722,0.6703880135570325,0.6971087016958577,86.7814600601625,44.757170889536525
Mishmar HaNegev (Loess) -- native 5.85um,1,606,35.11008111239861,1.5145081837133438,1.5051347594471953,1.5067200008990007,1.462144671472372,0.8443981167621419,0.8496761369126742,0.8764457836147109,0.9043040293040293,31.21470992386346,25.81628993795123
Mishmar HaNegev (Loess) -- native 5.85um,2,476,27.57821552723059,1.507961082899631,1.446397768246602,1.4952169078478028,1.4837486285787833,0.712696525282793,0.7179400774909304,0.3932512490185885,0.41559075999720846,85.43167218085696,72.38627759144401
Mishmar HaNegev (Loess) -- native 5.85um,3,358,20.741599073001158,2.749596039912785,2.573376405808758,1.5431395601878697,1.464394159310498,0.6609245804774323,0.6813886486971156,0.7721416182156756,0.8235294117647058,58.83659675580451,32.2837430978829
