soil,cluster_id,n_objects,pct_of_soil_objects,mean_elongation,median_elongation,mean_flatness,median_flatness,mean_sphericity,median_sphericity,mean_pore_contact_fraction,median_pore_contact_fraction,mean_diameter_um,median_diameter_um
Bnei Re'em (Vertisol),0,251,17.180013689253936,2.657362980063426,2.5695031738869165,1.492744843045355,1.4271937476078733,0.6493675896644854,0.6519169740861233,0.8250690888815757,0.8559670781893004,99.66210883731044,73.65913176319656
Bnei Re'em (Vertisol),1,246,16.83778234086242,1.4921271960344031,1.421092470713592,2.2968849579554664,2.252265276172438,0.7675168704676617,0.7612865616396917,0.8879924594505607,0.9172374429223744,58.38854491394373,49.66082147363606
Bnei Re'em (Vertisol),2,311,21.286789869952088,1.6132138595238779,1.5810380555085004,1.597687912404476,1.599474853052505,0.524821093854655,0.5320410934924524,0.634896153701253,0.6507633587786259,197.6013868089394,155.11562729641759
Bnei Re'em (Vertisol),3,369,25.256673511293634,1.6198534053933686,1.5845908892407534,1.365280923876416,1.3335799843299834,0.8542233770741142,0.8528470916320385,0.898831118915271,0.9196428571428571,66.44163474237132,55.83209877428485
Bnei Re'em (Vertisol),4,97,6.639288158795345,1.6916548200227148,1.6104797544744942,3.306199736717048,2.9457995253911937,0.5132798507804262,0.5194218881684335,0.44964683881109063,0.42857142857142855,151.96442285217512,109.01712335221299
Bnei Re'em (Vertisol),5,187,12.799452429842573,1.562315444817196,1.4634087292953437,1.5127093343187377,1.4248975298441167,0.7959796285192479,0.7905902356788603,0.22050813204308245,0.20408163265306123,84.24008679246764,69.46464386118028
Mishmar HaNegev (Loess) -- native 5.85um,0,604,34.994206257242176,1.5130899305499805,1.503742145002882,1.5059345786163036,1.4599941839942647,0.8455911294833489,0.8507630516289669,0.8758474631164271,0.9043040293040293,31.141858184920057,25.81628993795123
Mishmar HaNegev (Loess) -- native 5.85um,1,286,16.57010428736964,1.5535591562516506,1.5191281524236078,2.751993664859427,2.534923098328374,0.6130528994367661,0.6234974055732722,0.6703880135570325,0.6971087016958577,86.7814600601625,44.757170889536525
Mishmar HaNegev (Loess) -- native 5.85um,2,364,21.08922363847045,2.734943276355289,2.5636153778307977,1.5434467084398868,1.4665239235691017,0.6603209432825035,0.6807777523630723,0.7711260603079548,0.8235294117647058,59.076834558927395,32.2837430978829
Mishmar HaNegev (Loess) -- native 5.85um,3,472,27.34646581691773,1.5053202254952842,1.4451853026623223,1.4954246692187285,1.4837486285787833,0.7128515657640131,0.7179400774909304,0.3920311123944011,0.4128112960924601,85.44796967666504,72.38627759144401
Mishmar HaNegev (Loess) -- label-downsampled ~15um,0,433,66.0060975609756,1.5210794825659668,1.4367401837094003,1.4901150685551474,1.4334734976529855,0.7994448007233514,0.7963969729901202,0.5857311689707555,0.5961538461538461,91.67488938979625,81.18118686302584
Mishmar HaNegev (Loess) -- label-downsampled ~15um,1,223,33.99390243902439,2.0651415748099473,1.8903777632805954,2.094453256253072,1.9523449387074845,0.5994410367943609,0.6135420905851351,0.5747551674571736,0.5764075067024129,159.84050265463884,130.9048629190437
Mishmar HaNegev (Loess) -- image-downsampled ~15um then predicted,0,9,7.826086956521739,1.7000972337988458,1.7706602170320345,1.683055710274454,1.7208278781495914,0.422822016771303,0.4239811009536288,0.6939795720500389,0.7229806598407281,488.5643483027446,582.2659554389296
Mishmar HaNegev (Loess) -- image-downsampled ~15um then predicted,1,36,31.304347826086957,1.7855829540933976,1.8030858776682481,1.3975923862085464,1.4123214242472635,0.8016473003801702,0.807197214812932,0.8497349902921694,0.8535902503293809,76.37928998754359,70.77560580771322
Mishmar HaNegev (Loess) -- image-downsampled ~15um then predicted,2,22,19.130434782608695,1.5062671304001343,1.4286391079010223,2.466635324395673,2.3571681465780885,0.7049549300988025,0.6994544032188866,0.7268044940437712,0.7294481981981982,74.61843842465072,65.18500397768703
Mishmar HaNegev (Loess) -- image-downsampled ~15um then predicted,3,31,26.956521739130434,1.4451280653926182,1.3675832451817362,1.3970352526957155,1.3855109859078842,0.7380438132093424,0.7306577886007786,0.37073547758015024,0.40232312565997885,172.00956520601167,157.66328049770965
Mishmar HaNegev (Loess) -- image-downsampled ~15um then predicted,4,17,14.782608695652174,2.857329268941927,2.595152788355312,1.5744913491008525,1.5096266832787921,0.5539076004516875,0.5678064755100505,0.5143750744886976,0.5283417935702199,268.81985670054723,213.51170142586358
