soil,cluster_id,n_objects,pct_of_soil_objects,mean_elongation,median_elongation,mean_flatness,median_flatness,mean_sphericity,median_sphericity,mean_pore_contact_fraction,median_pore_contact_fraction,mean_diameter_um,median_diameter_um
"Bnei Re'em (Vertisol) -- canonical nlm_volume, n=1",0,32,42.10526315789474,1.6661341365719662,1.6713936933087254,1.5233506243637074,1.470396956584338,0.474039514656498,0.46695746152072604,0.43416191340971033,0.4515416148587805,404.9344321301976,371.09963318509426
"Bnei Re'em (Vertisol) -- canonical nlm_volume, n=1",1,11,14.473684210526315,1.8763957842841874,1.8255337036007138,2.71232174017517,2.778569235075989,0.3411105701886869,0.3288394885605658,0.5105049328953869,0.5205980695224276,432.91201873313906,384.69427131843344
"Bnei Re'em (Vertisol) -- canonical nlm_volume, n=1",2,14,18.42105263157895,2.656014534459277,2.545889441932908,1.4879110965787672,1.5080562874302372,0.35220815579853454,0.3434491502765415,0.7023653187079726,0.6942650431108555,550.0391226734989,494.95756010063633
"Bnei Re'em (Vertisol) -- canonical nlm_volume, n=1",3,19,25.0,1.414391694980442,1.3364993892545194,1.7425561539772467,1.739154336977892,0.39853010084897256,0.40974742452478646,0.748023930451067,0.750259528399822,444.65561655459544,351.38986334425795
"Mishmar HaNegev (Loess) -- sample 1 (native 5.85um), label-downsampled ~15um",0,3,15.789473684210526,1.8069225437020322,1.782874298805708,1.4003378722621502,1.490886101239654,0.5175861985570782,0.5136008273571617,0.49411374269859204,0.49003805686142826,407.0653203629792,424.4390549033029
"Mishmar HaNegev (Loess) -- sample 1 (native 5.85um), label-downsampled ~15um",1,5,26.31578947368421,1.455742477950602,1.341630645787191,2.160949990578234,2.0367059464197466,0.27836415037977125,0.2922373911011918,0.6693228074885429,0.6794871794871795,726.1724198793474,703.3317926867018
"Mishmar HaNegev (Loess) -- sample 1 (native 5.85um), label-downsampled ~15um",2,2,10.526315789473685,1.498020994256868,1.498020994256868,2.575113845648318,2.575113845648318,0.5668094530180725,0.5668094530180725,0.2786175463013707,0.2786175463013707,385.91801646186536,385.91801646186536
"Mishmar HaNegev (Loess) -- sample 1 (native 5.85um), label-downsampled ~15um",3,3,15.789473684210526,1.3071800596610865,1.3317301620345665,1.3264985858237883,1.310705103307933,0.6936059886856961,0.6946998576130314,0.1915208713189109,0.18863955119214587,324.7386262369034,319.5274287931011
"Mishmar HaNegev (Loess) -- sample 1 (native 5.85um), label-downsampled ~15um",4,4,21.05263157894737,2.575494762909093,2.5827196236100125,1.326771291075762,1.3021000303351442,0.3404838849938794,0.30732223746639564,0.6799608202285432,0.6655392856906575,518.4726260807597,537.8439876192233
"Mishmar HaNegev (Loess) -- sample 1 (native 5.85um), label-downsampled ~15um",5,2,10.526315789473685,2.8746443152227297,2.8746443152227297,1.1811233772178573,1.1811233772178573,0.6417692239514441,0.6417692239514441,0.5146659742269879,0.5146659742269879,313.68171482628566,313.68171482628566
"Mishmar HaNegev (Loess) -- sample 2 (native 8.8um), label-downsampled ~15um",0,10,16.666666666666668,1.4722721558998328,1.4671369663641296,1.850862803611784,1.8342695705364007,0.5146711024157533,0.5093164752217973,0.6849633289110766,0.6719082852755915,394.0553929442118,345.4519450252476
"Mishmar HaNegev (Loess) -- sample 2 (native 8.8um), label-downsampled ~15um",1,15,25.0,1.3496405069180428,1.3450647667498805,1.6588027305733135,1.7326209067095215,0.642489848314867,0.6438896827925777,0.3575491693491138,0.35918591859185917,378.68149931570736,324.1122889114053
"Mishmar HaNegev (Loess) -- sample 2 (native 8.8um), label-downsampled ~15um",2,9,15.0,2.1751086499031995,2.271719623468507,2.411777796482642,2.3501188941887166,0.4282894859651658,0.4377615336575838,0.425709271446578,0.4140214216163583,452.2867957402277,383.1051496457433
"Mishmar HaNegev (Loess) -- sample 2 (native 8.8um), label-downsampled ~15um",3,7,11.666666666666666,2.9565016344160386,2.6651776075091482,1.3029137240750674,1.2277224750423632,0.4929043075429571,0.4839897038915634,0.4760011523420969,0.4542185338865837,433.6176387132597,331.5882753099242
"Mishmar HaNegev (Loess) -- sample 2 (native 8.8um), label-downsampled ~15um",4,6,10.0,1.2500046861577778,1.238730536584142,3.3407631416692856,3.4423720578642953,0.3855419565178782,0.3736520480558071,0.6027392616063659,0.5613764914786965,451.7598342405642,393.7364176537128
"Mishmar HaNegev (Loess) -- sample 2 (native 8.8um), label-downsampled ~15um",5,13,21.666666666666668,1.7626751431523122,1.7624184377505974,1.702267125800766,1.7120427600167738,0.313950637816248,0.31547002250185,0.5788862647990429,0.5958391123439667,727.197579547019,525.15875935399
