soil,cluster_id,n_objects,pct_of_soil_objects,mean_elongation,median_elongation,mean_flatness,median_flatness,mean_sphericity,median_sphericity,mean_pore_contact_fraction,median_pore_contact_fraction,mean_diameter_um,median_diameter_um
"Bnei Re'em (Vertisol) -- canonical nlm_volume, n=1 [EXISTING CROP]",0,8,19.51219512195122,1.4285458766136014,1.3373263399669963,1.9056564155673317,1.7407051089885601,0.308103592438046,0.2936430901087296,0.7533944677082338,0.7352225043824933,632.3734784539383,531.1430031526579
"Bnei Re'em (Vertisol) -- canonical nlm_volume, n=1 [EXISTING CROP]",1,6,14.634146341463415,2.0574770636834803,2.060217561552413,2.6976115484757894,2.7337941588815626,0.31026731065131674,0.31347745492277057,0.5217514590807034,0.5396571675110314,458.0050049280337,405.9779709798362
"Bnei Re'em (Vertisol) -- canonical nlm_volume, n=1 [EXISTING CROP]",2,10,24.390243902439025,1.6491571660249211,1.490678523665637,1.4519093217098984,1.4268563651164117,0.3537666458283126,0.3686337091670265,0.4203059155390987,0.4024836768401199,528.9537479347475,482.3219457452873
"Bnei Re'em (Vertisol) -- canonical nlm_volume, n=1 [EXISTING CROP]",3,8,19.51219512195122,2.84865876324728,2.661702251748102,1.4684447532199512,1.5276589082919938,0.34451532854795547,0.3434491502765415,0.767333805229352,0.8297491238112035,679.5146520417986,608.2762223151784
"Bnei Re'em (Vertisol) -- canonical nlm_volume, n=1 [EXISTING CROP]",4,9,21.951219512195124,1.7430300023305396,1.8401232233222338,1.4541159095798695,1.3559443870084888,0.5516409346664122,0.559078661705186,0.5194951330192197,0.5104088286932531,424.8582175066433,423.98533890296886
"Mishmar HaNegev (Loess) -- sample 1 (native 5.85um), label-downsampled ~15um [ROI-EXPANDED CROP]",0,3,12.5,2.0657904379145164,2.0760875832730683,2.6625631344333076,2.6893281225424706,0.32090479263010013,0.27673975335604956,0.7187541861409513,0.6703965772585158,487.4641047068747,376.18821631485315
"Mishmar HaNegev (Loess) -- sample 1 (native 5.85um), label-downsampled ~15um [ROI-EXPANDED CROP]",1,6,25.0,1.6642252463543372,1.511940586123158,1.7892112484910587,1.7710531747936558,0.47776515657129887,0.495199694657489,0.6073144230073045,0.6066291170899893,484.0532224385279,480.9513815551301
"Mishmar HaNegev (Loess) -- sample 1 (native 5.85um), label-downsampled ~15um [ROI-EXPANDED CROP]",2,4,16.666666666666668,1.5036783186090408,1.5118655530526741,3.0547620568578706,2.721721523912821,0.4185578045514403,0.40136122748080366,0.3319558179833669,0.33950699588886846,409.5188922186557,407.4546808775905
"Mishmar HaNegev (Loess) -- sample 1 (native 5.85um), label-downsampled ~15um [ROI-EXPANDED CROP]",3,6,25.0,2.5931978778172007,2.686552482779349,1.4301786877491527,1.4242731295424358,0.2954539736928981,0.29066151970291954,0.6958464605639844,0.7104804519770672,599.5845678810709,563.7641931680071
"Mishmar HaNegev (Loess) -- sample 1 (native 5.85um), label-downsampled ~15um [ROI-EXPANDED CROP]",4,1,4.166666666666667,1.567283699399048,1.567283699399048,1.3069768455333504,1.3069768455333504,0.7074452483288124,0.7074452483288124,0.37236180904522614,0.37236180904522614,376.46131130464363,376.46131130464363
"Mishmar HaNegev (Loess) -- sample 1 (native 5.85um), label-downsampled ~15um [ROI-EXPANDED CROP]",5,4,16.666666666666668,1.3620185047135718,1.3750583720883065,2.0065722791462526,1.9734689575525235,0.23056928748157338,0.2463463169423507,0.6248756963060458,0.6219023825817303,881.250939425971,676.068543943371
"Mishmar HaNegev (Loess) -- sample 2 (native 8.8um), label-downsampled ~15um [ROI-EXPANDED CROP]",0,122,77.21518987341773,1.7878690641531105,1.6247366599859467,1.7777097588983901,1.6329254845330619,0.39687408869000984,0.38800142131601645,0.5895676143266396,0.5928812964269048,571.4780426605745,480.10055756578464
"Mishmar HaNegev (Loess) -- sample 2 (native 8.8um), label-downsampled ~15um [ROI-EXPANDED CROP]",1,36,22.78481012658228,2.3178486609586475,1.740504781311111,4.690089000554547,2.5036494742862008,0.33297256319295354,0.3541404259299791,0.0814655963605822,0.045943933786360594,987.33990475641,569.294104369611
