run_type,iteration_name,log_file,err_log_file,date,gpu,final_epoch,final_train_loss,final_val_loss,final_mean_dice,duration_min,status,notes
training,fresh_bnei_reem_i2,training/fresh_bnei_reem_i2/_fresh_bnei_reem_i2.log,training/fresh_bnei_reem_i2/_fresh_bnei_reem_i2_err.log,2026-06-30,,46,-0.5119,-0.5175,0.7346000075340271,,success,
training,fresh_bnei_reem_i3,training/fresh_bnei_reem_i3/_fresh_bnei_reem_i3.log,training/fresh_bnei_reem_i3/_fresh_bnei_reem_i3_err.log,2026-07-01,,27,-0.5455,-0.5406,32,,success,
training,fresh_bnei_reem_i3_lowlr,training/fresh_bnei_reem_i3_lowlr/_fresh_bnei_reem_i3_lowlr.log,training/fresh_bnei_reem_i3_lowlr/_fresh_bnei_reem_i3_lowlr_err.log,2026-07-02,,69,-0.5884,-0.5798,32,,success,
training,fresh_bnei_reem_i3_scratch,training/fresh_bnei_reem_i3_scratch/_fresh_bnei_reem_i3_scratch.log,training/fresh_bnei_reem_i3_scratch/_fresh_bnei_reem_i3_scratch_err.log,2026-07-05,,71,-0.3958,-0.3748,0.8537999987602234,,success,
training,fresh_bnei_reem_i4,training/fresh_bnei_reem_i4/_fresh_bnei_reem_i4.log,training/fresh_bnei_reem_i4/_fresh_bnei_reem_i4_err.log,2026-07-05,,87,-0.6153,-0.626,0.9735000133514404,,success,
training,mishmar_hnegev_scratch,training/mishmar_hnegev_scratch/_mishmar_hnegev_scratch.log,training/mishmar_hnegev_scratch/_mishmar_hnegev_scratch_err.log,2026-07-07,,,,,,,failed,
training,mishmar_hnegev_trained,training/mishmar_hnegev_trained/_mishmar_hnegev_trained.log,training/mishmar_hnegev_trained/_mishmar_hnegev_trained_err.log,2026-07-07,,,,,,,failed,
training,mishmar_psd,training/mishmar_psd/mishmar_psd.log,,2026-05-24,,,,,,,incomplete,
training,train_fresh_bnei_reem,training/train_fresh_bnei_reem/_train_fresh_bnei_reem.log,training/train_fresh_bnei_reem/_train_fresh_bnei_reem_err.log,2026-06-28,,166,-0.5237,-0.5158,32,,success,
training,train_iter4_continue_bnei_reem,training/train_iter4_continue_bnei_reem/_train_iter4_continue_bnei_reem.log,training/train_iter4_continue_bnei_reem/_train_iter4_continue_bnei_reem_err.log,2026-06-28,,44,-0.7545,-0.7723,32,,success,
